dist,ttc,heading_err,approach_speed,ammo,mines,threat_density,threat_angle,thrust,turn_rate
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,0.8,0.6666666666666666
279.97780484945946,210.4961659351855,-4.00021155384826,-1.3300850569205533,0,0,2.4,-0.00021155384825032606,0.8,-0.04444679504275844
279.91128888684625,105.1900898025832,-3.734447538563046,-2.6610043722956527,0,0,2.4,-0.0011283088195867853,0.8,-0.0414938615395894
279.800397404324,70.07983704359461,-3.4869136790485697,-3.9925948633451926,0,0,2.4,-0.0025576185426500002,0.8,-0.03874348532276189
279.6451103252989,52.51825376789314,-3.2563235892934017,-5.324722173002999,0,0,2.4,-0.004428440724054773,0.8,-0.03618137321437113
279.4454116441671,41.97593990030189,-3.041484218742937,-6.657275865838501,0,0,2.4,-0.0066773094598202,0.8,-0.033794269097143746
279.20128869737187,34.943117516228945,-2.841288884995464,-7.990165404323181,0,0,2.4,-0.009247590295214375,0.8,-0.0315698764999496
278.91273155744045,29.915612448943545,-2.654710841834998,-9.323316780943594,0,0,2.4,-0.012088806134447575,0.8,-0.029496787131499978
278.57973252992,26.14135000324562,-2.480797340350307,-10.656669701271454,0,0,2.4,-0.015156027438737986,0.8,-0.027564414892781188
278.20228573634796,23.202520430907644,-2.318664144279296,-11.99017522965996,0,0,2.4,-0.018409320724422435,0.8,-0.025762934936436624
277.78038676909745,20.848445304309752,-2.1674904638415455,-13.323793823210174,0,0,2.4,-0.021813249905285603,0.8,-0.02408322737601717
277.3140324062206,18.919607829555925,-2.0265142751948417,-14.657493691439248,0,0,2.4,-0.025336425514689735,0.8,-0.022516825279942684
276.8032203763247,17.309668115987396,-1.895027995295834,-15.991249429020899,0,0,2.4,-0.028951097295335522,0.8,-0.021055866614398157
276.247949165133,15.94500994952144,-1.7723744843734721,-17.32504087734508,0,0,2.4,-0.03263278605938496,0.8,-0.019693049826371913
275.6482178567319,14.773053306363593,-1.6579433504566623,-18.65885217770077,0,0,2.4,-0.03635995110078289,0.8,-0.018421592782851805
275.00402600365226,13.755241919017744,-1.5511675324467546,-19.992670984829193,0,0,2.4,-0.04011368978800638,0.8,-0.01723519480496394
274.31537352088094,12.862660551780895,-1.4515201401098352,-21.32648781459919,0,0,2.4,-0.043877466280851686,0.8,-0.016128001556775948
273.5822605997102,12.073199158158207,-1.3585115310901301,-22.66029550376818,0,0,2.4,-0.04763686660181417,0.8,-0.015094572567668113
272.8046876380004,11.369662350122312,-1.271686606635825,-23.994088763336553,0,0,2.4,-0.05137937755351834,0.8,-0.0141298511848425
271.98265518400154,10.738475902447927,-1.190622309183567,-25.327863809984503,0,0,2.4,-0.055094187210311556,0.8,-0.0132291367687063
271.1161638913515,10.1687813265838,-1.114925306288086,-26.66161806258774,0,0,2.4,-0.05877200492707469,0.8,-0.01238805895875651
270.2052144832671,9.651789154870976,-1.0442298466114153,-27.995349892916224,0,0,2.4,-0.0624048990029498,0.8,-0.011602553851237948
269.2498077242771,9.18030861597303,-0.9781957748153616,-29.32905842139154,0,0,2.4,-0.06598615031429968,0.8,-0.010868841942392906
268.2499443981249,8.748400015414472,-0.9165066932376931,-30.662743350266897,0,0,2.4,-0.06951012039099506,0.8,-0.010183407702641034
267.2056252907028,8.351114030729384,-0.8588682591857832,-31.996404827843687,0,0,2.4,-0.07297213255494214,0.8,-0.009542980657619814
266.11685117707333,7.984293583878256,-0.8050066075560096,-33.330043338387725,0,0,2.4,-0.07636836487089384,0.8,-0.00894451786173344
264.9836228117976,7.644421442166769,-0.75466688929302,-34.66365961328912,0,0,2.4,-0.07969575377829953,0.8,-0.008385187658811332
263.80594092192564,7.328501691262624,-0.7076119169420281,-35.997254559748164,0,0,2.4,-0.08295190738018131,0.8,-0.007862354632689202
262.58380620211653,7.033966611563009,-0.6636209092282286,-37.330829203889,0,0,2.4,-0.0861350274625173,0.8,-0.007373565658091429
261.31721931145285,6.758602825465368,-0.6224883272225838,-38.66438464572146,0,0,2.4,-0.08924383940542131,0.8,-0.0069165369691398205
260.00618087159006,6.500492218491653,-0.5840227952295152,-39.9979220238065,0,0,2.4,-0.09227752922719147,0.8,-0.006489142169216835
258.6506914659474,6.257964297810836,-0.5480461000612422,-41.33144248784364,0,0,2.4,-0.09523568707420042,0.8,-0.00608940111179158
257.25075163970297,6.029557485873104,-0.5143922628514019,-42.664947177703546,0,0,2.4,-0.09811825653512661,0.8,-0.005715469587237799
255.806361900397,5.813987453530029,-0.48290667800975484,-43.99843720768287,0,0,2.4,-0.10092548921688868,0.8,-0.005365629755663943
254.31752271898856,5.61012104308338,-0.4534453143320718,-45.33191365497046,0,0,2.4,-0.10365790407318269,0.8,-0.005038281270356353
252.7842345312376,5.416954663064941,-0.4258739736616519,-46.66537755149144,0,0,2.4,-0.10631625102490826,0.8,-0.004731933040685021
251.20649773931328,5.233596285065556,-0.40006760284839515,-47.99882987844307,0,0,2.4,-0.10890147845576538,0.8,-0.004445195587204391
249.58431271354692,5.059250360993837,-0.375909655075219,-49.33227156295912,0,0,2.4,-0.11141470420580776,0.8,-0.004176773945280211
247.9176797942679,4.893205122663379,-0.3532914969194394,-50.66570347644162,0,0,2.4,-0.11385718972170622,0.8,-0.00392546107688266
246.206599293672,4.734821836003347,-0.33211185779174457,-51.999126434183744,0,0,2.4,-0.11623031705533121,0.8,-0.0036901317532416064
244.45107149768586,4.583525667742268,-0.31227631864834393,-53.33254119597773,0,0,2.4,-0.11853556843135539,0.8,-0.0034697368738704883
242.6510966677976,4.438797889187546,-0.29369683710541494,-54.665948467460225,0,0,2.4,-0.1207745081316576,0.8,-0.003263298190060166
240.8066750428333,4.30016919418599,-0.27629130630180043,-55.99934890199531,0,0,2.4,-0.12294876646839693,0.8,-0.0030699034033533383
238.91780684066435,4.167213949831627,-0.2599831450529848,-57.332743102935154,0,0,2.4,-0.1250600256397067,0.8,-0.002888701611699831
236.98449225983404,4.039545231482021,-0.24470091702471564,-58.666131626131,0,0,2.4,-0.12711000728164457,0.8,-0.002718899078052396
235.00673148109848,3.9168105200396237,-0.23037797682334826,-59.999514982593816,0,0,2.4,-0.12910046154857713,0.8,-0.002559755298037203
232.9845246688768,3.798687960684632,-0.21695214105656646,-61.33289364122615,0,0,2.4,-0.1310331575700356,0.8,-0.0024105793450729606
230.91787197261039,3.6848830994100465,-0.20436538256359427,-62.66626803156403,0,0,2.4,-0.13290987514748712,0.8,-0.0022707264729288253
